Product_name,Product_price,Product_rating
Apple iPhone 11 (64GB) - Black,₹68300,4.6
Apple iPhone 11 Pro Max (256GB) - Midnight Green,₹131900,4.5
Apple iPhone 11 (64GB) - White,₹68300,4.6
Apple iPhone XR (128GB) - Black,₹57800,4.5
Apple iPhone XR (64GB) - Blue,₹49900,4.5
Apple iPhone 11 (128GB) - White,₹73600,4.6
OnePlus 7T (Glacier Blue| 8GB RAM| Fluid AMOLED Display| 256GB Storage| 3800mAH Battery),₹37999,4.5
Apple iPhone 11 Pro Max (256GB) - Gold,₹131900,4.5
Apple iPhone 8 Plus (64GB) - Space Grey,₹49500,4.5
Redmi Note 8 (Space Black| 4GB RAM| 64GB Storage),₹11999,4.3
Apple iPhone 7 (32GB) - Gold,₹31500,4.2
Apple iPhone Xs Max (64GB) - Gold,₹69900,4.3
Apple iPhone 11 Pro (256GB) - Midnight Green,₹121300,4.5
Apple iPhone 11 Pro Max (64GB) - Midnight Green,₹117100,4.5
Apple iPhone 11 (128GB) - Purple,₹73600,4.6
Apple iPhone 11 Pro (256GB) - Space Grey,₹121300,4.5
